idx,sample_id,y_true,y_pred,true_label,pred_label,confidence,correct
0,GTEX-ZF29-0926-SM-4WKFZ,2,2,Normal Tissue,Normal Tissue,0.9947807192802429,True
1,GTEX-TSE9-0126-SM-3DB83,2,2,Normal Tissue,Normal Tissue,0.9988825917243958,True
2,GTEX-12WSK-2326-SM-5GCOH,2,2,Normal Tissue,Normal Tissue,0.9915403723716736,True
3,GTEX-P4PQ-0126-SM-2S1NM,2,2,Normal Tissue,Normal Tissue,0.9994545578956604,True
4,TCGA-FR-A3R1-01,0,1,Primary Tumor,Metastasis,0.9553061127662659,False
5,TCGA-EE-A29D-06,1,1,Metastasis,Metastasis,0.8812503814697266,True
6,TCGA-FS-A1ZA-06,1,1,Metastasis,Metastasis,0.6404559016227722,True
7,TCGA-EE-A17X-06,1,1,Metastasis,Metastasis,0.7810675501823425,True
8,TCGA-FR-A8YD-06,1,1,Metastasis,Metastasis,0.8682079911231995,True
9,TCGA-FS-A1ZF-06,1,1,Metastasis,Metastasis,0.7798933982849121,True
10,GTEX-X585-0008-SM-46MU4,2,2,Normal Tissue,Normal Tissue,0.9963213205337524,True
11,TCGA-EB-A41A-01,0,0,Primary Tumor,Primary Tumor,0.8743029236793518,True
12,TCGA-D3-A3ML-06,1,1,Metastasis,Metastasis,0.8007327318191528,True
13,TCGA-EE-A2MP-06,1,1,Metastasis,Metastasis,0.6054069995880127,True
14,TCGA-DA-A1I4-06,1,1,Metastasis,Metastasis,0.7494019269943237,True
15,GTEX-132NY-0326-SM-5IJBL,2,2,Normal Tissue,Normal Tissue,0.9893849492073059,True
16,GTEX-ZT9X-0008-SM-4YCD7,2,2,Normal Tissue,Normal Tissue,0.9467121362686157,True
17,TCGA-ER-A19S-06,1,1,Metastasis,Metastasis,0.9603615403175354,True
18,TCGA-EE-A3AB-06,1,1,Metastasis,Metastasis,0.74449622631073,True
19,GTEX-11DXX-0008-SM-5Q5B8,2,2,Normal Tissue,Normal Tissue,0.9913514852523804,True
20,GTEX-11O72-0626-SM-5PNYE,2,2,Normal Tissue,Normal Tissue,0.9781180024147034,True
21,GTEX-Y8LW-1526-SM-5IFHL,2,2,Normal Tissue,Normal Tissue,0.9971559047698975,True
22,TCGA-D3-A5GR-06,1,1,Metastasis,Metastasis,0.9694074988365173,True
